Basic Results

Total entries = 13259515
Total unique entries = 13259433

net.com = 297 (0.0%)
yahoo.fr = 297 (0.0%)
com.tw = 293 (0.0%)
i.ua = 284 (0.0%)
com.br = 281 (0.0%)
yahool.com = 268 (0.0%)
yahoo.co.uk = 266 (0.0%)
co.jp = 266 (0.0%)
hotmail.com.br = 265 (0.0%)
live.co.uk = 263 (0.0%)
web.de = 261 (0.0%)
gmil.com = 260 (0.0%)
design.com = 259 (0.0%)
bellsouth.com = 258 (0.0%)
media.com = 245 (0.0%)
d.com = 243 (0.0%)

Password length (length ordered)
1 = 1 (0.0%)
2 = 58 (0.0%)
3 = 776 (0.01%)
4 = 4347 (0.03%)
5 = 10945 (0.08%)
6 = 38824 (0.29%)
7 = 151444 (1.14%)
8 = 290164 (2.19%)
9 = 516228 (3.89%)
10 = 788253 (5.94%)
11 = 1152360 (8.69%)
12 = 1067179 (8.05%)
13 = 1357168 (10.24%)
14 = 1110017 (8.37%)
15 = 1070024 (8.07%)
16 = 1000243 (7.54%)
17 = 864925 (6.52%)
18 = 727488 (5.49%)
19 = 627354 (4.73%)
20 = 532481 (4.02%)
21 = 438901 (3.31%)
22 = 355956 (2.68%)
23 = 290921 (2.19%)
24 = 222770 (1.68%)
25 = 187141 (1.41%)
26 = 133384 (1.01%)
27 = 103877 (0.78%)
28 = 66633 (0.5%)
29 = 46296 (0.35%)
30 = 31294 (0.24%)
31 = 21681 (0.16%)
32 = 14880 (0.11%)
33 = 9981 (0.08%)
34 = 6648 (0.05%)
35 = 4605 (0.03%)
36 = 3253 (0.02%)
37 = 2204 (0.02%)
38 = 1562 (0.01%)
39 = 1253 (0.01%)
40 = 1035 (0.01%)
41 = 800 (0.01%)
42 = 589 (0.0%)
43 = 541 (0.0%)
44 = 412 (0.0%)
45 = 356 (0.0%)
46 = 275 (0.0%)
47 = 236 (0.0%)
48 = 175 (0.0%)
49 = 142 (0.0%)
50 = 150 (0.0%)
51 = 162 (0.0%)
52 = 114 (0.0%)
53 = 109 (0.0%)
54 = 78 (0.0%)
55 = 79 (0.0%)
56 = 59 (0.0%)
57 = 60 (0.0%)
58 = 37 (0.0%)
59 = 35 (0.0%)
60 = 23 (0.0%)
61 = 36 (0.0%)
62 = 21 (0.0%)
63 = 17 (0.0%)
64 = 15 (0.0%)
65 = 19 (0.0%)
66 = 11 (0.0%)
67 = 14 (0.0%)
68 = 23 (0.0%)
69 = 21 (0.0%)
70 = 13 (0.0%)
71 = 9 (0.0%)
72 = 7 (0.0%)
73 = 6 (0.0%)
74 = 10 (0.0%)
75 = 12 (0.0%)
76 = 7 (0.0%)
77 = 9 (0.0%)
78 = 7 (0.0%)
79 = 7 (0.0%)
80 = 4 (0.0%)
81 = 6 (0.0%)
82 = 10 (0.0%)
83 = 3 (0.0%)
84 = 2 (0.0%)
85 = 4 (0.0%)
86 = 2 (0.0%)
87 = 3 (0.0%)
88 = 5 (0.0%)
89 = 5 (0.0%)
90 = 4 (0.0%)
91 = 1 (0.0%)
92 = 5 (0.0%)
93 = 4 (0.0%)
94 = 4 (0.0%)
95 = 3 (0.0%)
96 = 7 (0.0%)
97 = 2 (0.0%)
98 = 2 (0.0%)
99 = 3 (0.0%)
100 = 5 (0.0%)
101 = 1 (0.0%)
103 = 1 (0.0%)
104 = 3 (0.0%)
105 = 5 (0.0%)
106 = 1 (0.0%)
107 = 4 (0.0%)
108 = 2 (0.0%)
109 = 4 (0.0%)
110 = 3 (0.0%)
111 = 2 (0.0%)
112 = 1 (0.0%)
113 = 1 (0.0%)
114 = 1 (0.0%)
116 = 4 (0.0%)
117 = 1 (0.0%)
118 = 3 (0.0%)
119 = 3 (0.0%)
120 = 21 (0.0%)
121 = 5 (0.0%)
122 = 1 (0.0%)
123 = 7 (0.0%)
125 = 2 (0.0%)
126 = 3 (0.0%)
127 = 3 (0.0%)
130 = 2 (0.0%)
131 = 1 (0.0%)
133 = 1 (0.0%)
134 = 1 (0.0%)
138 = 1 (0.0%)
142 = 2 (0.0%)
145 = 3 (0.0%)
148 = 1 (0.0%)
151 = 1 (0.0%)
152 = 1 (0.0%)
153 = 1 (0.0%)
155 = 1 (0.0%)
156 = 1 (0.0%)
160 = 1 (0.0%)
167 = 2 (0.0%)
169 = 2 (0.0%)
172 = 1 (0.0%)
178 = 1 (0.0%)
182 = 1 (0.0%)
189 = 1 (0.0%)
190 = 4 (0.0%)
191 = 1 (0.0%)
203 = 1 (0.0%)
206 = 1 (0.0%)
220 = 1 (0.0%)
225 = 3 (0.0%)
226 = 1 (0.0%)
228 = 1 (0.0%)
229 = 1 (0.0%)
230 = 1 (0.0%)
232 = 1 (0.0%)
237 = 2 (0.0%)
238 = 1 (0.0%)
240 = 2 (0.0%)
241 = 1 (0.0%)
242 = 1 (0.0%)
243 = 1 (0.0%)
246 = 2 (0.0%)
247 = 7 (0.0%)
250 = 1 (0.0%)
256 = 39 (0.0%)

Password length (count ordered)
13 = 1357168 (10.24%)
11 = 1152360 (8.69%)
14 = 1110017 (8.37%)
15 = 1070024 (8.07%)
12 = 1067179 (8.05%)
16 = 1000243 (7.54%)
17 = 864925 (6.52%)
10 = 788253 (5.94%)
18 = 727488 (5.49%)
19 = 627354 (4.73%)
20 = 532481 (4.02%)
9 = 516228 (3.89%)
21 = 438901 (3.31%)
22 = 355956 (2.68%)
23 = 290921 (2.19%)
8 = 290164 (2.19%)
24 = 222770 (1.68%)
25 = 187141 (1.41%)
7 = 151444 (1.14%)
26 = 133384 (1.01%)
27 = 103877 (0.78%)
28 = 66633 (0.5%)
29 = 46296 (0.35%)
6 = 38824 (0.29%)
30 = 31294 (0.24%)
31 = 21681 (0.16%)
32 = 14880 (0.11%)
5 = 10945 (0.08%)
33 = 9981 (0.08%)
34 = 6648 (0.05%)
35 = 4605 (0.03%)
4 = 4347 (0.03%)
36 = 3253 (0.02%)
37 = 2204 (0.02%)
38 = 1562 (0.01%)
39 = 1253 (0.01%)
40 = 1035 (0.01%)
41 = 800 (0.01%)
3 = 776 (0.01%)
42 = 589 (0.0%)
43 = 541 (0.0%)
44 = 412 (0.0%)
45 = 356 (0.0%)
46 = 275 (0.0%)
47 = 236 (0.0%)
48 = 175 (0.0%)
51 = 162 (0.0%)
50 = 150 (0.0%)
49 = 142 (0.0%)
52 = 114 (0.0%)
53 = 109 (0.0%)
55 = 79 (0.0%)
54 = 78 (0.0%)
57 = 60 (0.0%)
56 = 59 (0.0%)
2 = 58 (0.0%)
256 = 39 (0.0%)
58 = 37 (0.0%)
61 = 36 (0.0%)
59 = 35 (0.0%)
60 = 23 (0.0%)
68 = 23 (0.0%)
62 = 21 (0.0%)
69 = 21 (0.0%)
120 = 21 (0.0%)
65 = 19 (0.0%)
63 = 17 (0.0%)
64 = 15 (0.0%)
67 = 14 (0.0%)
70 = 13 (0.0%)
75 = 12 (0.0%)
66 = 11 (0.0%)
74 = 10 (0.0%)
82 = 10 (0.0%)
71 = 9 (0.0%)
77 = 9 (0.0%)
72 = 7 (0.0%)
76 = 7 (0.0%)
78 = 7 (0.0%)
79 = 7 (0.0%)
96 = 7 (0.0%)
123 = 7 (0.0%)
247 = 7 (0.0%)
73 = 6 (0.0%)
81 = 6 (0.0%)
88 = 5 (0.0%)
89 = 5 (0.0%)
92 = 5 (0.0%)
100 = 5 (0.0%)
105 = 5 (0.0%)
121 = 5 (0.0%)
80 = 4 (0.0%)
85 = 4 (0.0%)
90 = 4 (0.0%)
93 = 4 (0.0%)
94 = 4 (0.0%)
107 = 4 (0.0%)
109 = 4 (0.0%)
116 = 4 (0.0%)
190 = 4 (0.0%)
83 = 3 (0.0%)
87 = 3 (0.0%)
95 = 3 (0.0%)
99 = 3 (0.0%)
104 = 3 (0.0%)
110 = 3 (0.0%)
118 = 3 (0.0%)
119 = 3 (0.0%)
126 = 3 (0.0%)
127 = 3 (0.0%)
145 = 3 (0.0%)
225 = 3 (0.0%)
84 = 2 (0.0%)
86 = 2 (0.0%)
97 = 2 (0.0%)
98 = 2 (0.0%)
108 = 2 (0.0%)
111 = 2 (0.0%)
125 = 2 (0.0%)
130 = 2 (0.0%)
142 = 2 (0.0%)
167 = 2 (0.0%)
169 = 2 (0.0%)
237 = 2 (0.0%)
240 = 2 (0.0%)
246 = 2 (0.0%)
1 = 1 (0.0%)
91 = 1 (0.0%)
101 = 1 (0.0%)
103 = 1 (0.0%)
106 = 1 (0.0%)
112 = 1 (0.0%)
113 = 1 (0.0%)
114 = 1 (0.0%)
117 = 1 (0.0%)
122 = 1 (0.0%)
131 = 1 (0.0%)
133 = 1 (0.0%)
134 = 1 (0.0%)
138 = 1 (0.0%)
148 = 1 (0.0%)
151 = 1 (0.0%)
152 = 1 (0.0%)
153 = 1 (0.0%)
155 = 1 (0.0%)
156 = 1 (0.0%)
160 = 1 (0.0%)
172 = 1 (0.0%)
178 = 1 (0.0%)
182 = 1 (0.0%)
189 = 1 (0.0%)
191 = 1 (0.0%)
203 = 1 (0.0%)
206 = 1 (0.0%)
220 = 1 (0.0%)
226 = 1 (0.0%)
